Gene Locus,TA sites,reads,,,,
SAOUHSC_02960,10,3,,,,
SAOUHSC_02961,38,1384,,,,
SAOUHSC_02962,62,2754,,,,
SAOUHSC_02963,181,5833,,,,
SAOUHSC_02964,69,2190,,,,
SAOUHSC_02965,68,498,,,,
SAOUHSC_02967,141,5188,,,,
SAOUHSC_02968,84,2214,,,,
SAOUHSC_02969,115,2712,,,,
SAOUHSC_02970,45,2101,,,,
SAOUHSC_02971,110,1289,,,,
SAOUHSC_02972,50,621,,,,
SAOUHSC_02973,33,198,,,,
SAOUHSC_02974,159,4775,,,,
SAOUHSC_02975,152,1841,,,,
SAOUHSC_02976,84,1392,,,,
SAOUHSC_02978,253,3978,,,,
SAOUHSC_02979,149,3318,,,,
SAOUHSC_02980,56,615,,,,
SAOUHSC_02982,151,2917,,,,
SAOUHSC_02983,124,2494,,,,
SAOUHSC_02984,140,3865,,,,
SAOUHSC_02985-azi,202,7340,,,,
SAOUHSC_02986,75,1528,,,,
SAOUHSC_02987,125,3023,,,,
SAOUHSC_02988,120,2818,,,,
SAOUHSC_02989-secY,128,3720,,,,
SAOUHSC_02990,421,17510,,,,
SAOUHSC_02991,56,1142,,,,
SAOUHSC_02992,34,383,,,,
SAOUHSC_02993,28,657,,,,
SAOUHSC_02994,32,496,,,,
SAOUHSC_02995,57,1260,,,,
SAOUHSC_02996,35,1625,,,,
SAOUHSC_02997,41,253,,,,
SAOUHSC_02998,59,906,,,,
SAOUHSC_02999,61,1259,,,,
SAOUHSC_03000,72,1067,,,,
SAOUHSC_03001,53,232,,,,
SAOUHSC_03002,110,5329,,,,
SAOUHSC_03003,29,587,,,,
SAOUHSC_03004,80,875,,,,
SAOUHSC_03005,137,4298,,,,
SAOUHSC_03006,157,924,,,,
SAOUHSC_03008,105,2335,,,,
SAOUHSC_03009,56,926,,,,
SAOUHSC_03010-hisH,50,994,,,,
SAOUHSC_03011-hisB,44,1439,,,,
SAOUHSC_03012,83,1860,,,,
SAOUHSC_03013,99,1685,,,,
SAOUHSC_03014-hisG,56,2075,,,,
SAOUHSC_03015-hisZ,55,785,,,,
SAOUHSC_03016,95,3159,,,,
SAOUHSC_03017,46,945,,,,
SAOUHSC_03018,89,3179,,,,
SAOUHSC_03019,157,2860,,,,
SAOUHSC_03020,58,1223,,,,
SAOUHSC_03021,76,1336,,,,
SAOUHSC_03022,37,104,,,,
SAOUHSC_03023,78,775,,,,
SAOUHSC_03024,71,1230,,,,
SAOUHSC_03025,57,724,,,,
SAOUHSC_03026,86,2790,,,,
SAOUHSC_03027,29,539,,,,
SAOUHSC_03028,39,701,,,,
SAOUHSC_03030,111,1499,,,,
SAOUHSC_03031,90,2311,,,,
SAOUHSC_03032,46,843,,,,
SAOUHSC_03033,84,2173,,,,
SAOUHSC_03034,74,883,,,,
SAOUHSC_03035,56,988,,,,
SAOUHSC_03036,51,533,,,,
SAOUHSC_03037,184,3204,,,,
SAOUHSC_03037a,19,183,,,,
SAOUHSC_03040,45,1016,,,,
SAOUHSC_03041,57,1818,,,,
SAOUHSC_03042,30,656,,,,
SAOUHSC_03045,15,5,,,,
SAOUHSC_03046,54,1367,,,,
SAOUHSC_03047,37,697,,,,
SAOUHSC_03048,33,170,,,,
SAOUHSC_03051-gidA,57,889,,,,
SAOUHSC_1307a,21,441,,,,
SAOUHSC_1342a,29,438,,,,
SAOUHSC_3042a,18,169,,,,
SAOUHSC_A00354,21,1027,,,,
SAOUHSC_A00992,5,227,,,,
SAOUHSC_A01081,34,994,,,,
SAOUHSC_A01436,24,851,,,,
SAOUHSC_A02189,33,2818,,,,
SAOUHSC_A02331,8,4,,,,
SAOUHSC_A02450,28,176,,,,
SAOUHSC_A02577,15,1078,,,,
SAOUHSC_A02794,29,1019,,,,
